Iteration,CollectionTable,Assembly,Terminal,ObjectiveValue
100,0.0,2.0,4.0,43.055721071163994
101,3.0,6.0,3.0,46.67617627726068
103,4.0,2.0,0.0,42.91767317174965
104,0.0,0.0,3.0,43.235838236675015
102,1.0,0.0,1.0,46.70639699966873
105,5.0,3.0,1.0,43.36509752599421
106,6.0,0.0,6.0,43.52471049021089
107,4.0,2.0,2.0,43.2036027089003
108,2.0,0.0,1.0,43.840043966544314
109,4.0,1.0,3.0,46.06590385069464
110,6.0,3.0,2.0,43.25474502677059
112,6.0,5.0,4.0,44.093069954017494
111,5.0,0.0,3.0,43.64957368317134
113,6.0,0.0,1.0,43.21250743204702
114,1.0,5.0,1.0,48.99368905517866
115,2.0,0.0,4.0,43.52142336309234
116,3.0,5.0,5.0,43.54702242165828
117,3.0,2.0,6.0,43.42398989142428
118,1.0,3.0,3.0,46.259130724643065
119,5.0,2.0,3.0,43.44825738068695
120,4.0,5.0,1.0,43.61757928810335
121,0.0,3.0,0.0,43.278607098588196
122,1.0,2.0,4.0,46.610180394270564
123,3.0,2.0,2.0,42.97741325271305
124,2.0,1.0,2.0,46.098852048652404
125,5.0,0.0,4.0,43.282483018803966
126,0.0,5.0,3.0,43.872225042212136
127,0.0,1.0,5.0,45.831198579272304
128,2.0,4.0,0.0,45.35795485871538
129,4.0,3.0,5.0,43.0838190071104
130,2.0,6.0,6.0,46.68781651839287
132,6.0,2.0,3.0,43.49683866466502
131,2.0,1.0,3.0,46.105162802859965
133,1.0,2.0,1.0,47.17692669290596
134,2.0,2.0,5.0,44.028532649693524
135,0.0,0.0,2.0,42.89951291125721
136,5.0,1.0,3.0,45.69103967500229
137,0.0,3.0,1.0,43.04961515707139
138,3.0,2.0,5.0,43.083116506557026
139,3.0,0.0,2.0,42.88323922772826
140,1.0,0.0,2.0,46.32023641184832
141,6.0,0.0,2.0,42.79312873394458
142,0.0,2.0,1.0,43.408727995986865
143,6.0,3.0,6.0,43.04765325455197
144,5.0,3.0,0.0,43.30735650264162
145,1.0,5.0,0.0,47.14160837087811
146,5.0,6.0,4.0,46.83545645307569
147,3.0,3.0,6.0,42.97741041838366
148,3.0,4.0,3.0,45.35954832190078
149,6.0,3.0,3.0,43.04636433498589
150,2.0,2.0,4.0,43.120348065837746
151,5.0,5.0,2.0,43.035682735962695
152,1.0,4.0,2.0,49.74841483653032
154,0.0,1.0,2.0,45.93008467415508
153,2.0,0.0,2.0,44.04201994898025
155,3.0,1.0,3.0,46.14100650302018
156,1.0,0.0,3.0,46.52335679770381
157,1.0,1.0,2.0,49.23633832281248
158,6.0,1.0,3.0,46.3378680712237
159,4.0,1.0,4.0,46.76248735241297
160,0.0,6.0,3.0,47.08484250149212
161,6.0,1.0,1.0,46.49245150388336
162,3.0,5.0,0.0,43.32902344469559
163,5.0,4.0,3.0,45.0696031093692
164,1.0,3.0,2.0,46.31873085180225
165,3.0,6.0,4.0,46.57897967573936
166,1.0,5.0,5.0,46.62564054100582
167,2.0,5.0,2.0,42.552266599547956
168,2.0,3.0,6.0,43.23382544751817
169,5.0,6.0,3.0,46.84954075948871
170,2.0,3.0,5.0,43.46259889415091
171,5.0,4.0,2.0,45.23793226902405
172,6.0,3.0,0.0,42.97082066805465
173,0.0,1.0,6.0,46.10307155613049
174,0.0,6.0,0.0,46.86461928686252
176,5.0,6.0,1.0,46.41939846167814
175,5.0,0.0,5.0,43.67433739523602
177,2.0,6.0,2.0,46.91542950901016
178,5.0,5.0,3.0,43.28709891310403
179,0.0,3.0,4.0,43.428091588857995
180,3.0,4.0,6.0,45.208523429632656
181,4.0,4.0,1.0,45.23919797570032
182,2.0,4.0,2.0,45.21502918076191
183,2.0,5.0,3.0,43.18988361988766
185,2.0,5.0,1.0,43.30810914231525
184,0.0,5.0,0.0,43.160357407061234
186,1.0,2.0,0.0,46.48931337711228
187,2.0,3.0,4.0,43.28895043763491
188,3.0,3.0,5.0,42.728800143044296
189,6.0,2.0,0.0,43.32928378769649
190,5.0,2.0,4.0,43.512398781415285
191,0.0,4.0,5.0,45.013141596591865
194,4.0,6.0,3.0,46.417786004460986
193,3.0,4.0,5.0,45.474559227810936
192,6.0,5.0,2.0,42.84420077600511
195,1.0,6.0,4.0,49.941844053564644
196,6.0,6.0,4.0,46.44117556229383
197,5.0,4.0,4.0,45.32036624163307
198,6.0,2.0,2.0,43.57636779564227
199,3.0,5.0,2.0,42.69218832856939
200,6.0,1.0,6.0,45.45056533436627
201,0.0,2.0,6.0,43.51774028279531
202,6.0,6.0,5.0,46.450032761711185
203,3.0,1.0,6.0,45.96120738466231
204,4.0,2.0,4.0,43.91644650116111
205,5.0,4.0,5.0,45.78801909648508
207,4.0,6.0,6.0,46.36264520698775
206,2.0,4.0,4.0,45.742897552667905
208,6.0,1.0,4.0,45.861444066685245
209,4.0,5.0,2.0,43.5433743346841
210,2.0,6.0,1.0,46.86737485656382
211,2.0,4.0,3.0,46.06497489483205
212,5.0,2.0,5.0,43.34409833759078
213,4.0,4.0,3.0,45.20681353346615
214,0.0,5.0,2.0,43.38591635865094
215,5.0,2.0,2.0,42.79175769724325
216,6.0,0.0,4.0,43.05115500532549
217,1.0,2.0,6.0,47.497094690324495
218,5.0,2.0,0.0,43.28960738163497
219,4.0,3.0,4.0,42.25563326952337
220,3.0,0.0,5.0,43.20432494839629
222,4.0,0.0,3.0,42.995604171628436
221,4.0,5.0,6.0,43.61067297847721
223,6.0,3.0,5.0,43.11533343074588
224,4.0,5.0,4.0,43.858848871112066
225,2.0,5.0,0.0,43.053929789877216
227,4.0,4.0,2.0,45.37434442049947
226,2.0,5.0,5.0,43.41882369262371
228,0.0,3.0,2.0,43.22517419059519
229,3.0,1.0,5.0,46.69692240569011
230,3.0,3.0,1.0,43.21568628269735
231,1.0,1.0,4.0,48.41783651881599
232,1.0,4.0,4.0,48.54402358889468
233,5.0,5.0,6.0,43.21692082588783
234,6.0,2.0,1.0,43.93725286450742
235,5.0,5.0,1.0,43.524004823950555
236,3.0,2.0,4.0,43.59480680854393
238,4.0,4.0,4.0,44.903862615508665
237,4.0,2.0,6.0,43.79997672007911
239,5.0,1.0,2.0,46.26300085994571
240,2.0,1.0,0.0,46.745464224427714
242,2.0,4.0,6.0,45.76095270717012
241,6.0,0.0,5.0,43.16426227214957
243,5.0,4.0,6.0,45.54915080620576
244,1.0,4.0,0.0,49.67585800370357
245,4.0,5.0,5.0,43.642784373741854
246,0.0,4.0,2.0,45.581099229310404
247,1.0,1.0,5.0,48.87025827252449
248,3.0,6.0,0.0,46.81561016059549
249,3.0,4.0,0.0,45.744173632243815
250,4.0,3.0,1.0,42.94484993886185
252,4.0,4.0,5.0,44.91670420204975
251,5.0,3.0,6.0,43.195139803401155
253,0.0,6.0,1.0,46.622046838965126
254,2.0,0.0,6.0,43.75139069829711
256,0.0,0.0,4.0,43.03246651014936
255,4.0,0.0,5.0,43.22163734775612
257,6.0,3.0,4.0,42.98827264403688
258,5.0,1.0,4.0,46.54439468021836
259,2.0,5.0,6.0,43.32467045414811
260,4.0,6.0,4.0,46.036090108583025
262,6.0,6.0,2.0,46.39728295235326
261,1.0,5.0,2.0,47.43413222407505
263,5.0,3.0,4.0,43.59605076557505
264,6.0,1.0,5.0,45.61820072250588
265,2.0,6.0,3.0,46.84037265179619
266,4.0,1.0,5.0,45.39428214006204
267,4.0,6.0,0.0,46.22600567365807
269,0.0,4.0,1.0,45.688447729036305
270,5.0,6.0,2.0,46.97878098796749
268,0.0,2.0,5.0,42.660842302679754
271,6.0,2.0,4.0,43.79768502886991
272,1.0,5.0,3.0,47.43746773552268
273,5.0,4.0,1.0,45.79099897300211
274,5.0,2.0,1.0,43.75604804721133
275,3.0,5.0,1.0,43.80039898467225
276,4.0,2.0,5.0,43.463322400678834
277,5.0,3.0,5.0,43.339304586563465
278,0.0,6.0,5.0,46.901982507748755
279,6.0,1.0,2.0,46.19061367551022
280,4.0,6.0,5.0,46.25685024450842
281,4.0,0.0,4.0,43.13614096176873
282,1.0,1.0,3.0,48.48033525301143
283,0.0,2.0,2.0,43.23049810569541
284,3.0,1.0,4.0,45.95635161111351
285,1.0,2.0,2.0,46.30501790769346
286,1.0,2.0,3.0,46.581111478703704
287,1.0,3.0,4.0,47.32177521848145
288,1.0,2.0,5.0,47.15812810017582
289,0.0,3.0,5.0,42.95250630542039
290,0.0,4.0,0.0,45.645991129879725
291,5.0,1.0,1.0,45.45498483525075
292,5.0,0.0,6.0,43.521994789618226
293,0.0,6.0,2.0,46.402010437922385
294,5.0,2.0,6.0,42.9450420187081
295,6.0,5.0,5.0,43.21811510550611
296,1.0,3.0,0.0,47.000931089483984
299,2.0,4.0,5.0,45.58279427413051
297,3.0,5.0,4.0,44.046184679537355
298,2.0,5.0,4.0,44.96659035431527
301,2.0,6.0,5.0,48.24595438748046
300,0.0,2.0,3.0,44.3176728052984
302,3.0,4.0,1.0,46.02868407377043
303,2.0,2.0,3.0,44.007980841351575
304,1.0,3.0,5.0,47.075448768301115
306,3.0,6.0,2.0,46.654843741799866
305,5.0,5.0,4.0,43.055740204445705
307,1.0,6.0,2.0,50.95194101247158
308,0.0,4.0,3.0,45.41786660521963
309,0.0,4.0,4.0,45.53399804283723
310,0.0,0.0,5.0,42.631833847329446
311,0.0,5.0,5.0,43.11645657283545
312,1.0,6.0,0.0,51.24416687285685
313,1.0,6.0,3.0,50.966510451040584
314,1.0,0.0,4.0,47.40817414095975
315,1.0,4.0,5.0,49.924750920602115
316,1.0,6.0,5.0,50.787193197210804
317,1.0,1.0,6.0,48.51021250480121
319,1.0,5.0,6.0,48.37378165592316
318,1.0,3.0,6.0,46.74052625472111
320,1.0,6.0,6.0,50.40857067755483
321,2.0,0.0,0.0,42.673958548788164
322,2.0,6.0,0.0,46.58352569660868
323,2.0,4.0,1.0,45.14034564986663
325,2.0,1.0,6.0,45.70408094050763
327,3.0,6.0,1.0,47.0673710478919
324,2.0,0.0,5.0,42.86110795274667
326,2.0,2.0,6.0,43.62406496168485
328,3.0,0.0,6.0,43.059869930326705
330,3.0,6.0,6.0,46.36551353126202
329,3.0,5.0,6.0,43.67871866396958
331,4.0,3.0,0.0,42.565965402874745
332,4.0,6.0,2.0,46.5005143891921
333,4.0,0.0,6.0,43.08368951841888
334,4.0,4.0,6.0,45.122605520350405
335,5.0,0.0,0.0,43.22913640557129
336,5.0,4.0,0.0,45.5371877354054
337,5.0,5.0,0.0,42.86682646036151
338,5.0,5.0,5.0,43.529717679525554
339,5.0,6.0,5.0,46.767558529635615
340,6.0,4.0,1.0,45.22452488383543
341,6.0,6.0,1.0,46.56369817241372
342,6.0,6.0,3.0,46.5563536605556
343,6.0,2.0,5.0,43.84831046270117
