8,17,30,25.0,294.672415550207,333.0,415.0709338628903
31,0,33,62.0,201.0052014423573,370.0,446.6759069811342
27,9,6,183.0,278.21507075062493,491.0,322.7174515815411
9,14,29,307.0,501.5233302891136,923.0,592.1942697578677
16,33,18,334.0,618.4592763423724,642.0,807.3100574017305
0,39,30,462.0,656.7350031989516,770.0,949.2277206215592
13,17,6,510.0,679.8600153531128,818.0,844.554554455017
18,29,18,600.0,761.1678570821248,908.0,841.8345237487914
26,21,6,935.0,970.5096118312576,1243.0,1124.8537474113068
36,26,3,1032.0,1131.0064092031312,1340.0,1432.6144281551324
38,16,12,1167.0,1322.0278724352374,1783.0,1464.2212211216836
15,11,27,1191.0,1510.8345237487915,1499.0,1659.5066536330037
33,12,19,1245.0,1342.626259239584,1861.0,1480.626259239584
20,18,37,1305.0,1590.3465159594898,1613.0,1858.9807380990833
11,9,12,1323.0,2066.841177381795,1631.0,2119.1757011305867
23,4,15,1341.0,1647.4080050398106,1649.0,1965.9639239997382
19,4,28,1478.0,1687.533006504531,2094.0,1903.3993463423951
22,39,8,1514.0,1645.9333770362307,1822.0,1779.033420739128
17,34,35,1691.0,1931.023447126564,1999.0,1943.523447126564
6,28,23,1810.0,4585.3872006348365,2118.0,4640.054935633674
21,1,6,1819.0,4018.086873806035,2127.0,4148.28773739269
28,29,16,1857.0,2145.140875772597,2473.0,2267.9308988022663
14,17,35,1890.0,2110.8716924895602,2198.0,2276.236731346117
2,12,34,2033.0,2130.5066536330037,2341.0,2267.022256711106
10,13,29,2096.0,2769.7566536330037,2404.0,2986.0066536330037
29,4,37,2187.0,2607.920207139368,2495.0,2719.7187335980047
25,17,22,2189.0,2284.5066536330037,2497.0,2384.0482791609293
39,2,23,2253.0,2399.8921422470276,2561.0,2594.429762781787
32,25,26,2268.0,2387.28227782277,2576.0,2448.5643112156677
24,17,1,2303.0,2549.296676662673,2919.0,2843.6362094491383
37,27,16,2655.0,4183.583883338885,2963.0,4297.130315571686
1,8,17,2688.0,2903.841177381795,2996.0,3060.702383150366
35,38,11,2696.0,3542.3038275457343,3004.0,3667.1115637349662
34,28,32,2738.0,3003.827474135754,3046.0,3209.7700565393216
3,7,31,2766.0,3004.7217243836285,3074.0,3172.389581465753
12,19,38,2870.0,3831.5066536330037,3178.0,4020.970494212401
30,20,31,2886.0,3585.182932130928,3194.0,3658.1925439621855
7,2,22,3056.0,3304.1323024396365,3672.0,3590.6887332417755
4,26,34,3092.0,3346.513062836135,3400.0,3591.527007294432
5,14,25,3208.0,3339.177593101758,3516.0,3419.698948697023
